Year	Region	Active Vessels1	Vessel Days Fished2	Landings (mt)	Avg $/kg3	Spawning Biomass
2002	BC	9	113	822	0.33	632173
2003	BC	9	74	"1,006"	0.26	488308
2004	BC	23	170	"4,259"	0.31	651419
2005	BC	16	167	"3,266"	0.21	837694
2006	BC	15	60	"1,558"	0.31	1010804
2007	BC	10	52	"1,507"	0.18	1047250
2008	BC	20	283	"10,435"	0.22	974298
2009	BC	17	319	"15,334"	0.17	857618
2010	BC	13	384	"22,223"	0.17	785170
2011	BC	13	343	"20,718"	0.17	667141
2012	BC	13	334	"19,172"	0.17	435351
2002	WA	75	330	"58,352"	0.02	632173
2003	WA	67	289	"34,732"	0.02	488308
2004	WA	64	296	"44,305"	0.02	651419
2005	WA	57	275	"34,633"	0.02	837694
2006	WA	61	286	"46,577"	0.02	1010804
2007	WA	64	301	"80,980"	0.02	1047250
2008	WA	65	220	"57,805"	0.03	974298
2009	WA	73	207	"37,577"	0.03	857618
2010	WA	69	242	"33,669"	0.03	785170
2011	WA	55	132	"27,714"	0.03	667141
2012	WA	52	195	23043.74514	0.04	435351
